Character,Field,Value
Alma Halliwell,Mother,Florrie Halliwell
Alma Halliwell,Sibling(s),Kath Simpson
Alma Halliwell,Spouse(s),Jim Sedgewick (1976)  Mike Baldwin (1992)
Alma Halliwell,First appearance,22nd June 1981
Alma Halliwell,Last appearance,20th June 2001
Alma Halliwell,Duration,"1981, 1982, 1988, 1989-2001"
Alma Halliwell,Number of appearances,1135
Alma Halliwell,Played by,Amanda Barrie
Shelley Unwin,Occupation,Manageress
Shelley Unwin,Born,19th November 1973
Shelley Unwin,Residence,Peak District
Shelley Unwin,Father,Jimmy Unwin
Shelley Unwin,Mother,Bev Unwin
Shelley Unwin,Sibling(s),Sharon Unwin
Shelley Unwin,Spouse(s),"Peter Barlow (2003, bigamous)"
Shelley Unwin,First appearance,9th May 2001
Shelley Unwin,Last appearance,29th September 2006
Shelley Unwin,Duration,2001-2006
Shelley Unwin,Number of appearances,763
Shelley Unwin,Played by,Sally Lindsay
Andy McDonald,Occupation,Teacher  Freelance journalist
Andy McDonald,Born,26th June 1974
Andy McDonald,Birthplace,Belfast
Andy McDonald,Residence,Barcelona
Andy McDonald,Father,Jim McDonald
Andy McDonald,Mother,Liz McDonald
Andy McDonald,Sibling(s),Steve McDonald  Katie McDonald
Andy McDonald,First appearance,6th December 1989
Andy McDonald,Last appearance,20th August 2009
Andy McDonald,Duration,"1989-1997, 2000, 2004, 2009"
Andy McDonald,Number of appearances,610
Andy McDonald,Played by,Nicholas Cochrane
Elaine Jones,Occupation,Former waitress and shop assistant
Elaine Jones,Born,11th October 1951
Elaine Jones,Residence,4 Coronation Street
Elaine Jones,Sibling(s),A brother
Elaine Jones,Spouse(s),Geoff Metcalfe (1971)
Elaine Jones,Children,Tim Metcalfe (1972)
Elaine Jones,First appearance,20th July 2020
Elaine Jones,Last appearance,23rd October 2023
Elaine Jones,Duration,2020-2023
Elaine Jones,Number of appearances,185
Elaine Jones,Played by,Paula Wilcox
Steph Britton,Occupation,Waitress
Steph Britton,Born,22nd February 1995
Steph Britton,Residence,Portugal
Steph Britton,Sibling(s),Luke Britton
Steph Britton,First appearance,18th February 2013
Steph Britton,Last appearance,7th February 2018
Steph Britton,Duration,"2013-2017, 2018"
Steph Britton,Number of appearances,319
Steph Britton,Played by,Tisha Merry
Karen McDonald,Occupation,Machinist
Karen McDonald,Born,July 1975
Karen McDonald,Father,Malcolm Phillips
Karen McDonald,Mother,Margaret Phillips
Karen McDonald,Spouse(s),"Steve McDonald (2001, 2004)"
Karen McDonald,First appearance,21st June 2000
Karen McDonald,Last appearance,26th December 2004
Karen McDonald,Duration,2000-2004
Karen McDonald,Number of appearances,496
Karen McDonald,Played by,Suranne Jones
Stephen Reid,Occupation,Businessman
Stephen Reid,Born,6th February 1957
Stephen Reid,Died,10th October 2023
Stephen Reid,Father,Geoff Masters (biological)  Malcolm Reid (adoptive)
Stephen Reid,Mother,Audrey Roberts (biological)Joyce Reid (adoptive)
Stephen Reid,Sibling(s),Gail Rodwell (half-sister)
Stephen Reid,Spouse(s),Gabrielle Reid (1999)
Stephen Reid,First appearance,29th January 1996
Stephen Reid,Last appearance,13th October 2023  24th October 2023 (Hallucination)
Stephen Reid,Duration,"1996-1997, 2007, 2022-2023"
Stephen Reid,Number of appearances,299
Stephen Reid,Played by,Todd Boyce
Mike Baldwin,Occupation,Businessman
Mike Baldwin,Born,16th February 1942
Mike Baldwin,Birthplace,London
Mike Baldwin,Died,7th April 2006
Mike Baldwin,Father,Frankie Baldwin
Mike Baldwin,Mother,Mary Baldwin
Mike Baldwin,Sibling(s),Harry Baldwin
Mike Baldwin,Spouse(s),Anne Woodley (common-law)Susan Barlow (1986)Jackie Ingram (1991)Alma Halliwell (1992)Linda Sykes (2000)
Mike Baldwin,Children,Danny Baldwin (1960)Mark Redman (1983) Adam Barlow (1988)
Mike Baldwin,First appearance,11th October 1976
Mike Baldwin,Last appearance,7th April 2006
Mike Baldwin,Duration,1976-2006
Mike Baldwin,Number of appearances,2350
Mike Baldwin,Played by,Johnny Briggs
Andy Carver,Occupation,Waiter
Andy Carver,Born,8th June 1985
Andy Carver,Died,27th October 2017
Andy Carver,First appearance,21st November 2014
Andy Carver,Last appearance,27th October 2017
Andy Carver,Duration,2014-2017
Andy Carver,Number of appearances,213
Andy Carver,Played by,Oliver Farnworth
Spider Nugent,Occupation,Detective Constable
Spider Nugent,Born,4th January 1972
Spider Nugent,Birthplace,London
Spider Nugent,Father,Edgar Nugent
Spider Nugent,Spouse(s),Layla
Spider Nugent,First appearance,15th December 1997
Spider Nugent,Last appearance,19th July 2023
Spider Nugent,Duration,"1997-2000, 2001, 2003, 2022-2023"
Spider Nugent,Number of appearances,340
Spider Nugent,Played by,Martin Hancock
Sinead Osbourne,Born,10th March 1994
Sinead Osbourne,Birthplace,Weatherfield
Sinead Osbourne,Died,25th October 2019
Sinead Osbourne,Mother,Arlene Tinker
Sinead Osbourne,Sibling(s),Millie Tinker  Penny Tinker
Sinead Osbourne,Spouse(s),Daniel Osbourne (2019)
Sinead Osbourne,Children,Bertie Osbourne (2019)
Sinead Osbourne,First appearance,19th April 2013
Sinead Osbourne,Last appearance,25th October 2019  6th March 2020 (video footage)
Sinead Osbourne,Duration,2013-2019
Sinead Osbourne,Number of appearances,591
Sinead Osbourne,Played by,Katie McGlynn
Luke Strong,Occupation,Businessman
Luke Strong,Born,c.1975
Luke Strong,Residence,Rio de Janeiro
Luke Strong,First appearance,20th February 2009
Luke Strong,Last appearance,19th October 2009
Luke Strong,Duration,2009
Luke Strong,Number of appearances,78
Luke Strong,Played by,Craig Kelly
Sean Skinner,Occupation,Bookmaker
Sean Skinner,Sibling(s),a sister
Sean Skinner,Spouse(s),Lynne Skinner
Sean Skinner,First appearance,1st August 1994
Sean Skinner,Last appearance,5th May 1997
Sean Skinner,Duration,1994-1997
Sean Skinner,Number of appearances,103
Sean Skinner,Played by,Terence Hillyer
Dennis Stringer,Occupation,Mechanic
Dennis Stringer,Died,2nd January 2002
Dennis Stringer,Spouse(s),Carol
Dennis Stringer,First appearance,7th February 2000
Dennis Stringer,Last appearance,2nd January 2002
Dennis Stringer,Duration,2000-2002
Dennis Stringer,Number of appearances,167
Dennis Stringer,Played by,Charles Dale
Candice Stowe,Occupation,Hairdresser
Candice Stowe,Born,20th September 1986
Candice Stowe,Father,Bill Stowe
Candice Stowe,Mother,Marion Stowe
Candice Stowe,Spouse(s),a husband (2007)
Candice Stowe,First appearance,5th November 1999
Candice Stowe,Last appearance,7th November 2005
Candice Stowe,Duration,1999-2005
Candice Stowe,Number of appearances,400
Candice Stowe,Played by,Nikki Sanderson
Jack Duckworth,Occupation,Barman
Jack Duckworth,Born,7th November 1936
Jack Duckworth,Birthplace,Manchester
Jack Duckworth,Died,7th November 2010
Jack Duckworth,Father,Harry Duckworth
Jack Duckworth,Mother,Maggie Duckworth
Jack Duckworth,Sibling(s),Clifford Duckworth
Jack Duckworth,Spouse(s),Veronica Burton (1957)
Jack Duckworth,Children,Terry Duckworth (1964)
Jack Duckworth,First appearance,28th November 1979
Jack Duckworth,Last appearance,8th November 2010
Jack Duckworth,Duration,"1979, 1981, 1982-2010"
Jack Duckworth,Number of appearances,2093
Jack Duckworth,Played by,William Tarmey
Betty Williams,Occupation,Barmaid
Betty Williams,Born,4th February 1920
Betty Williams,Birthplace,"6 Tile Street,Weatherfield"
Betty Williams,Died,16th April 2012
Betty Williams,Father,Harold Preston
Betty Williams,Mother,Margaret Preston
Betty Williams,Sibling(s),Maggie Cooke
Betty Williams,Spouse(s),Cyril TurpinBilly Williams (1995)
Betty Williams,Children,Gordon Clegg (1950)
Betty Williams,First appearance,2nd June 1969
Betty Williams,Last appearance,27th May 2011
Betty Williams,Duration,1969-2011
Betty Williams,Number of appearances,2734
Betty Williams,Played by,Betty Driver
Billy Mallett,Born,25th December 1998
Billy Mallett,Birthplace,Weatherfield
Billy Mallett,Residence,Blackpool
Billy Mallett,Father,Gary Mallett
Billy Mallett,Mother,Judy Mallett
Billy Mallett,Sibling(s),Becky Mallett
Billy Mallett,First appearance,25th December 1998
Billy Mallett,Last appearance,1st October 2000
Billy Mallett,Duration,1998-2000
Billy Mallett,Number of appearances,63
Billy Mallett,Played by,Lewis Ablett
Derek Wilton,Occupation,Salesman
Derek Wilton,Born,7th August 1936
Derek Wilton,Birthplace,Harrogate
Derek Wilton,Died,7th April 1997
Derek Wilton,Father,Lionel Wilton
Derek Wilton,Mother,Amy Wilton
Derek Wilton,Sibling(s),Edith Wilton  Doreen Wilton
Derek Wilton,Spouse(s),Angela Hawthorne (1985)  Mavis Riley (1988)
Derek Wilton,First appearance,23rd February 1976
Derek Wilton,Last appearance,7th April 1997
Derek Wilton,Duration,"1976, 1977, 1978, 1979, 1982, 1984, 1985, 1986, 1987, 1988-1997"
Derek Wilton,Number of appearances,726
Derek Wilton,Played by,Peter Baldwin
Jerry Booth,Occupation,Builder
Jerry Booth,Born,2nd August 1941
Jerry Booth,Died,10th November 1975
Jerry Booth,Father,Ernest Booth
Jerry Booth,Mother,Nellie Booth
Jerry Booth,Spouse(s),Myra Dickinson (1963)
Jerry Booth,Children,One daughter (1964)
Jerry Booth,First appearance,23rd July 1962
Jerry Booth,Last appearance,29th October 1975
Jerry Booth,Duration,"1962-1964, 1965-1968, 1971-1975"
Jerry Booth,Number of appearances,651
Jerry Booth,Played by,Graham Haberfield
Frank Foster,Occupation,Businessman
Frank Foster,Born,c. 1971
Frank Foster,Died,5th March 2012
Frank Foster,Father,Sam Foster
Frank Foster,Mother,Anne Foster
Frank Foster,First appearance,20th January 2011
Frank Foster,Last appearance,8th March 2012
Frank Foster,Duration,2011-2012
Frank Foster,Number of appearances,138
Frank Foster,Played by,Andrew Lancel
Joyce Smedley,Occupation,Cleaner
Joyce Smedley,Died,21st February 1997
Joyce Smedley,Father,Arthur Smedley
Joyce Smedley,Sibling(s),Beryl
Joyce Smedley,Children,Judy Mallett (1971)
Joyce Smedley,First appearance,23rd February 1996
Joyce Smedley,Last appearance,21st February 1997
Joyce Smedley,Duration,1996-1997
Joyce Smedley,Number of appearances,71
Joyce Smedley,Played by,Anita Carey
Simon Barlow,Born,6th July 2003
Simon Barlow,Residence,"Bilbao, Spain"
Simon Barlow,Father,Peter Barlow
Simon Barlow,Mother,Lucy BarlowLeanne Battersby (legal mother)
Simon Barlow,Sibling(s),Oliver Battersby (legal half-brother)  Unnamed half-brother (stillborn)
Simon Barlow,First appearance,6th July 2003
Simon Barlow,Last appearance,3rd June 2024
Simon Barlow,Duration,"2003, 2008-2024"
Simon Barlow,Number of appearances,931
Simon Barlow,Played by,Daniel Whelan (2003) Jake & Oscar Hartley (2003)Alex Bain (2008-2024)
Callum Logan,Born,1987
Callum Logan,Died,21st September 2015
Callum Logan,Mother,Marion Logan
Callum Logan,Children,Max Turner (2006)  Harry Platt (2016)
Callum Logan,First appearance,3rd October 2014
Callum Logan,Last appearance,23rd September 2015
Callum Logan,Duration,2014-2015
Callum Logan,Number of appearances,114
Callum Logan,Played by,Sean Ward
Harry Clayton,Occupation,Milkman
Harry Clayton,Spouse(s),Connie Clayton
Harry Clayton,Children,Andrea Clayton (1967)  Sue Clayton
Harry Clayton,First appearance,28th January 1985
Harry Clayton,Last appearance,4th September 1985
Harry Clayton,Duration,1985
Harry Clayton,Number of appearances,35
Harry Clayton,Played by,Johnny Leeze
Claire Palmer,Occupation,Shop assistant
Claire Palmer,Spouse(s),Jeff Palmer
Claire Palmer,Children,Becky Palmer (1982)
Claire Palmer,First appearance,8th May 1996
Claire Palmer,Last appearance,14th April 1997
Claire Palmer,Duration,1996-1997
Claire Palmer,Number of appearances,59
Claire Palmer,Played by,Maggie Norris
Cheryl Gray,Occupation,Waitress
Cheryl Gray,Born,17th January 1981
Cheryl Gray,Spouse(s),Chris Gray
Cheryl Gray,Children,Russ Gray
Cheryl Gray,First appearance,9th April 2010
Cheryl Gray,Last appearance,18th November 2011
Cheryl Gray,Duration,2010-2011
Cheryl Gray,Number of appearances,147
Cheryl Gray,Played by,Holly Quin-Ankrah
Rana Habeeb,Occupation,Nurse
Rana Habeeb,Born,1991
Rana Habeeb,Died,19th March 2019
Rana Habeeb,Father,Hassan Habeeb
Rana Habeeb,Mother,Saira Habeeb
Rana Habeeb,Sibling(s),Imran Habeeb
Rana Habeeb,Spouse(s),Zeedan Nazir (2016)
Rana Habeeb,First appearance,19th February 2016
Rana Habeeb,Last appearance,20th March 2019 (real Rana)  31st May 2019 (vision)
Rana Habeeb,Duration,2016-2019
Rana Habeeb,Number of appearances,244
Rana Habeeb,Played by,Bhavna Limbachia
Molly Hardcastle,Occupation,Practice nurse
Molly Hardcastle,Residence,Didsbury
Molly Hardcastle,Sibling(s),Tessa
Molly Hardcastle,First appearance,5th November 2000
Molly Hardcastle,Last appearance,20th May 2002
Molly Hardcastle,Duration,2000-2002
Molly Hardcastle,Number of appearances,80
Molly Hardcastle,Played by,Jacqueline Kington
David Platt,Occupation,Hairdresser
David Platt,Born,25th December 1990
David Platt,Birthplace,Weatherfield
David Platt,Residence,8 Coronation Street
David Platt,Father,Martin Platt
David Platt,Mother,Gail Chadwick
David Platt,Sibling(s),Nick Tilsley (half-brother)Sarah Platt (half-sister)Charlotte Platt (half-sister)
David Platt,Spouse(s),Kylie Turner (2011)Shona Ramsey (2019)
David Platt,Children,Lily Platt (2013)Max Turner (legal son)
David Platt,First appearance,26th December 1990
David Platt,Duration,1990 to present
David Platt,Number of appearances,3135 (as of Episode 11557/8)
David Platt,Played by,Thomas Ormson (1990-2000)Jack P. Shepherd (2000 to present)
Mavis Wilton,Occupation,NewsagentBed and Breakfast Manager
Mavis Wilton,Born,7th April 1937
Mavis Wilton,Birthplace,Weatherfield
Mavis Wilton,Residence,Cartmel
Mavis Wilton,Father,Tom Riley
Mavis Wilton,Mother,Margaret Riley
Mavis Wilton,Spouse(s),Derek Wilton (1988)
Mavis Wilton,First appearance,11th August 1971
Mavis Wilton,Last appearance,10th October 1997
Mavis Wilton,Duration,"1971, 1972, 1973-1997"
Mavis Wilton,Number of appearances,1788
Mavis Wilton,Played by,Thelma Barlow
Alan McKenna,Occupation,Detective
Alan McKenna,Birthplace,Darlington
Alan McKenna,Father,Bernard McKenna
Alan McKenna,Mother,Mary McKenna
Alan McKenna,Children,Morgan Middleton (1998)
Alan McKenna,First appearance,8th November 1996
Alan McKenna,Last appearance,10th November 1997
Alan McKenna,Duration,1996-1997
Alan McKenna,Number of appearances,87
Alan McKenna,Played by,Glenn Hugill
Ray Crosby,Occupation,Hotelier
Ray Crosby,Born,c.1968
Ray Crosby,Children,A daughter
Ray Crosby,First appearance,5th July 2019
Ray Crosby,Last appearance,19th November 2021
Ray Crosby,Duration,2019-2021
Ray Crosby,Number of appearances,117
Ray Crosby,Played by,Mark Frost
Tricia Hopkins,Occupation,Shop worker
Tricia Hopkins,Born,5th March 1957
Tricia Hopkins,Father,Idris Hopkins
Tricia Hopkins,Mother,Vera Hopkins
Tricia Hopkins,First appearance,24th September 1973
Tricia Hopkins,Last appearance,9th June 1976
Tricia Hopkins,Duration,"1973, 1974-1976"
Tricia Hopkins,Number of appearances,122
Tricia Hopkins,Played by,Kathy Jones
Gloria Price,Occupation,Waitress
Gloria Price,Born,1942
Gloria Price,Birthplace,Manchester
Gloria Price,Residence,Morocco
Gloria Price,Children,Stella Price (1963)
Gloria Price,First appearance,5th September 2012
Gloria Price,Last appearance,21st February 2014
Gloria Price,Duration,2012-2014
Gloria Price,Number of appearances,172
Gloria Price,Played by,Sue Johnston
Angela Harris,Occupation,Factory worker
Angela Harris,Born,18th July 1964
Angela Harris,Birthplace,Sheffield
Angela Harris,Father,Keith Appleyard
Angela Harris,Mother,Shirley Appleyard
Angela Harris,Sibling(s),Lorraine  Pauline
Angela Harris,Spouse(s),Tommy Harris (1985)
Angela Harris,Children,Katy Harris (1986)  Craig Harris (1990)
Angela Harris,First appearance,13th November 2002
Angela Harris,Last appearance,2nd May 2005
Angela Harris,Duration,2002-2005
Angela Harris,Number of appearances,306
Angela Harris,Played by,Kathryn Hunt
Zeedan Nazir,Occupation,Co-owner of Speed Daal Chef
Zeedan Nazir,Born,25th November 1995
Zeedan Nazir,Residence,London
Zeedan Nazir,Father,Kal Nazir
Zeedan Nazir,Mother,Jamila Nazir
Zeedan Nazir,Sibling(s),Alya Nazir
Zeedan Nazir,Spouse(s),Rana Habeeb (2016)  Marrium Elamin (2020)
Zeedan Nazir,First appearance,5th September 2014
Zeedan Nazir,Last appearance,20th February 2023
Zeedan Nazir,Duration,"2014-2018, 2021-2023"
Zeedan Nazir,Number of appearances,420
Zeedan Nazir,Played by,Qasim Akhtar
Greg Kelly,Born,1st June 1972
Greg Kelly,Father,Les Battersby
Greg Kelly,Mother,Moira Wood
Greg Kelly,Sibling(s),Leanne Battersby (half-sister)
Greg Kelly,First appearance,1st April 1998
Greg Kelly,Last appearance,16th May 1999
Greg Kelly,Duration,1998-1999
Greg Kelly,Number of appearances,117
Greg Kelly,Played by,Stephen Billington
Teresa Bryant,Occupation,Shop assistant
Teresa Bryant,Born,c.1958
Teresa Bryant,Spouse(s),Jerry Morton (1978)
Teresa Bryant,Children,Jodie Morton (1978)Darryl Morton (1989)Mel Morton (1989)Kayleigh Morton (1994)Finlay Bryant (2000)
Teresa Bryant,First appearance,28th March 2007
Teresa Bryant,Last appearance,14th May 2010
Teresa Bryant,Duration,"2007, 2008, 2009-2010"
Teresa Bryant,Number of appearances,105
Teresa Bryant,Played by,Karen Henthorn
Sharif Nazir,Occupation,Businessman
Sharif Nazir,Residence,Newcastle
Sharif Nazir,Spouse(s),Yasmeen Nazir (1971)
Sharif Nazir,Children,Kal Nazir
Sharif Nazir,First appearance,24th February 2014
Sharif Nazir,Last appearance,4th November 2016
Sharif Nazir,Duration,2014-2016
Sharif Nazir,Number of appearances,165
Sharif Nazir,Played by,Marc Anwar
Liam Connor (son of Maria Connor),Born,1st July 2009
Liam Connor (son of Maria Connor),Birthplace,Ainsdale Beach
Liam Connor (son of Maria Connor),Residence,5 Victoria Court
Liam Connor (son of Maria Connor),Father,Liam Connor
Liam Connor (son of Maria Connor),Mother,Maria Connor
Liam Connor (son of Maria Connor),Sibling(s),Paul Connor
Liam Connor (son of Maria Connor),First appearance,3rd July 2009
Liam Connor (son of Maria Connor),Duration,2009 to present
Liam Connor (son of Maria Connor),Number of appearances,312 (as of Episode 11557/8)
Liam Connor (son of Maria Connor),Played by,Imogen Moore (2009)  Logan Pearson (2009)  Ollie & Elliott Barnett (2010-2012)  Charlie Wrenshall (2012 to present)
Glory Bailey,Born,17th March 2021
Glory Bailey,Birthplace,Weatherfield General
Glory Bailey,Residence,3 Coronation Street
Glory Bailey,Father,Michael Bailey
Glory Bailey,Mother,Grace Vickers
Glory Bailey,First appearance,14th May 2021
Glory Bailey,Duration,2021 to present
Glory Bailey,Number of appearances,32 (as of Episode 11557/8)
Glory Bailey,Played by,Kamiyah Brown (2021)  Eleanor Beckles (2021-2023)  Maiya M (2024 to present)
Sheila Crossley,Occupation,Factory worker
Sheila Crossley,Born,23rd April 1940
Sheila Crossley,Birthplace,Manchester
Sheila Crossley,Residence,Sheffield
Sheila Crossley,Father,Mr Birtles
Sheila Crossley,Mother,Mrs Birtles
Sheila Crossley,Sibling(s),Raymond Birtles  Eric Birtles
Sheila Crossley,Spouse(s),Neil Crossley (1966)
Sheila Crossley,Children,Danny Crossley (1964)
Sheila Crossley,First appearance,4th January 1961
Sheila Crossley,Last appearance,2nd October 1974
Sheila Crossley,Duration,"1961, 1962-1963, 1966, 1969, 1974"
Sheila Crossley,Number of appearances,161
Sheila Crossley,Played by,Eileen Mayers
Bertie Osbourne,Born,14th January 2019
Bertie Osbourne,Birthplace,Weatherfield General
Bertie Osbourne,Residence,19a Victoria Street
Bertie Osbourne,Father,Daniel Osbourne
Bertie Osbourne,Mother,Sinead Tinker
Bertie Osbourne,First appearance,14th January 2019
Bertie Osbourne,Duration,2019 to present
Bertie Osbourne,Number of appearances,144 (as of Episode 11557/8)
Bertie Osbourne,Played by,Ellis Blain (2019-2020)Elias Morgan-Smith (2019-2020)Rufus Morgan-Smith (2019 to present)
Tina Fowler,Occupation,Barmaid
Tina Fowler,First appearance,13th March 1989
Tina Fowler,Last appearance,3rd September 1990
Tina Fowler,Duration,1989-1990
Tina Fowler,Number of appearances,152
Tina Fowler,Played by,Michelle Holmes
Ivy Brennan,Occupation,Factory worker
Ivy Brennan,Born,8th April 1936
Ivy Brennan,Birthplace,Rochdale
Ivy Brennan,Died,23rd August 1995
Ivy Brennan,Father,Jim Nelson
Ivy Brennan,Mother,Alice Nelson
Ivy Brennan,Sibling(s),Sheila Nelson
Ivy Brennan,Spouse(s),Jack Tilsley (explanation)Bert Tilsley (1956)  Don Brennan (1988)
Ivy Brennan,Children,Brian Tilsley (1958)
Ivy Brennan,First appearance,14th June 1971
Ivy Brennan,Last appearance,25th March 1994
Ivy Brennan,Duration,"1971-1972, 1974, 1975, 1976-1994"
Ivy Brennan,Number of appearances,1167
Ivy Brennan,Played by,Lynne Perrie
Idris Hopkins,Occupation,Foundry worker
Idris Hopkins,Birthplace,Wales
Idris Hopkins,Father,Cledwin Hopkins
Idris Hopkins,Mother,Megan Hopkins
Idris Hopkins,Spouse(s),Vera Hopkins
Idris Hopkins,Children,Tricia Hopkins (1957)
Idris Hopkins,First appearance,8th July 1974
Idris Hopkins,Last appearance,10th February 1975
Idris Hopkins,Duration,1974-1975
Idris Hopkins,Number of appearances,44
Idris Hopkins,Played by,Richard Davies
Lisa Swain,Occupation,Detective Sergeant
Lisa Swain,Residence,15a Victoria Street
Lisa Swain,Spouse(s),Becky Swain
Lisa Swain,Children,Betsy Swain (legal)
Lisa Swain,First appearance,7th May 2021 (1)
Lisa Swain,Duration,"2021, 2022, 2023, 2024 to present"
Lisa Swain,Number of appearances,247 (as of Episode 11557/8)
Lisa Swain,Played by,Vicky Myers
Sue Clayton,Occupation,Shop assistant
Sue Clayton,Father,Harry Clayton
Sue Clayton,Mother,Connie Clayton
Sue Clayton,Sibling(s),Andrea Clayton
Sue Clayton,First appearance,30th January 1985
Sue Clayton,Last appearance,28th August 1985
Sue Clayton,Duration,1985
Sue Clayton,Number of appearances,27
Sue Clayton,Played by,Jane Hazlegrove
Rosie Webster,Occupation,Game show assistant
Rosie Webster,Born,24th December 1990
Rosie Webster,Birthplace,"Rosamund Street, Weatherfield"
Rosie Webster,Father,Kevin Webster
Rosie Webster,Mother,Sally Webster
Rosie Webster,Sibling(s),Sophie Webster  Jake Webster (half-brother)  Jack Webster (half-brother)
Rosie Webster,First appearance,25th December 1990
Rosie Webster,Last appearance,8th June 2018
Rosie Webster,Duration,"1990-2012, 2017-2018"
Rosie Webster,Number of appearances,1365
Rosie Webster,Played by,Emma Collinge (1990-1999)  Helen Flanagan (2000-2018)
Trevor Dean,Occupation,Bin man  Dishwasher  Factory worker
Trevor Dean,Residence,France
Trevor Dean,First appearance,28th January 2010
Trevor Dean,Last appearance,25th March 2011
Trevor Dean,Duration,"2010, 2011"
Trevor Dean,Number of appearances,63
Trevor Dean,Played by,Steve Jackson
Norma Ford,Occupation,Shop assistant
Norma Ford,Born,3rd July 1945
Norma Ford,Father,Jacko Ford
Norma Ford,First appearance,29th May 1972
Norma Ford,Last appearance,10th July 1974
Norma Ford,Duration,"1972-1973, 1974"
Norma Ford,Number of appearances,121
Norma Ford,Played by,Diana Davies
Archie Shuttleworth,Occupation,Undertaker
Archie Shuttleworth,Born,14th September 1934
Archie Shuttleworth,Died,12th December 2018
Archie Shuttleworth,Sibling(s),Stella
Archie Shuttleworth,Spouse(s),A wife  Joan
Archie Shuttleworth,Children,George Shuttleworth  Glenda Shuttleworth
Archie Shuttleworth,First appearance,17th February 2002
Archie Shuttleworth,Last appearance,10th May 2010
Archie Shuttleworth,Duration,"2002-2003, 2006, 2010"
Archie Shuttleworth,Number of appearances,116
Archie Shuttleworth,Played by,Roy Hudd
Mark Redman,Born,9th May 1983
Mark Redman,Residence,Doncaster
Mark Redman,Father,Mike Baldwin
Mark Redman,Mother,Maggie Redman
Mark Redman,Sibling(s),Danny Baldwin (half-brother)  Adam Barlow (half-brother)
Mark Redman,First appearance,31st October 1983
Mark Redman,Last appearance,17th April 2006
Mark Redman,Duration,"1983, 1986, 1991, 1992-1994, 1996, 1999-2000, 2001, 2006"
Mark Redman,Number of appearances,158
Mark Redman,Played by,Thomas Hawkeswood (1983)  Christopher Oakes (1986)  Michael Bolstridge (1991)  Chris Cook (1992-1996)  Paul Fox (1999-2006)
Ronnie Bailey,Occupation,Developer
Ronnie Bailey,Born,18th October 1969
Ronnie Bailey,Residence,3 Coronation Street
Ronnie Bailey,Father,Sarge Bailey
Ronnie Bailey,Sibling(s),Ed Bailey
Ronnie Bailey,Spouse(s),Ruth Bailey  Kat Bailey (2018)
Ronnie Bailey,First appearance,19th February 2021
Ronnie Bailey,Duration,2021 to present
Ronnie Bailey,Number of appearances,285 (as of Episode 11557/8)
Ronnie Bailey,Played by,Vinta Morgan
Jackie Ingram,Occupation,Businesswoman
Jackie Ingram,Born,5th July
Jackie Ingram,Spouse(s),Peter Ingram  Mike Baldwin (1991)
Jackie Ingram,First appearance,8th August 1990
Jackie Ingram,Last appearance,15th June 1992
Jackie Ingram,Duration,"1990-1991, 1992"
Jackie Ingram,Number of appearances,75
Jackie Ingram,Played by,Shirin Taylor
Katy Armstrong,Occupation,Receptionist
Katy Armstrong,Born,10th September 1994
Katy Armstrong,Died,18th October 2017
Katy Armstrong,Father,Owen Armstrong
Katy Armstrong,Mother,Linda Hancock
Katy Armstrong,Sibling(s),Izzy Armstrong
Katy Armstrong,Children,Joseph Brown (2011)
Katy Armstrong,First appearance,30th July 2010
Katy Armstrong,Last appearance,20th March 2015 (full appearance)9th May 2016 (voice cameo)
Katy Armstrong,Duration,"2010-2015, 2016"
Katy Armstrong,Number of appearances,396
Katy Armstrong,Played by,Georgia May Foote
Craig Harris,Born,18th September 1990
Craig Harris,Birthplace,Sheffield
Craig Harris,Residence,Berlin
Craig Harris,Father,Tommy Harris
Craig Harris,Mother,Angela Harris
Craig Harris,Sibling(s),Katy Harris
Craig Harris,First appearance,13th November 2002
Craig Harris,Last appearance,16th October 2006
Craig Harris,Duration,2002-2006
Craig Harris,Number of appearances,294
Craig Harris,Played by,Richard Fleeshman
Katy Harris,Born,26th September 1986
Katy Harris,Birthplace,Sheffield
Katy Harris,Died,20th April 2005
Katy Harris,Father,Tommy Harris
Katy Harris,Mother,Angela Harris
Katy Harris,Sibling(s),Craig Harris
Katy Harris,First appearance,13th November 2002
Katy Harris,Last appearance,20th April 2005
Katy Harris,Duration,2002-2005
Katy Harris,Number of appearances,282
Katy Harris,Played by,Lucy-Jo Hudson
Valerie Barlow,Occupation,Hairdresser
Valerie Barlow,Born,26th November 1942
Valerie Barlow,Died,27th January 1971
Valerie Barlow,Father,Alfred Tatlock
Valerie Barlow,Mother,Edith Tatlock
Valerie Barlow,Sibling(s),Joyce Tatlock (half-sister)
Valerie Barlow,Spouse(s),Ken Barlow (1962)
Valerie Barlow,Children,Susan Barlow (1965)Peter Barlow (1965)
Valerie Barlow,First appearance,7th August 1961
Valerie Barlow,Last appearance,27th January 1971 (on-screen)  1st February 1971 (voice appearance)
Valerie Barlow,Duration,"1961, 1962-1971"
Valerie Barlow,Number of appearances,632
Valerie Barlow,Played by,Anne Reid
Denise Osbourne,Occupation,Hairdresser
Denise Osbourne,Born,1st December 1955
Denise Osbourne,Residence,Manchester
Denise Osbourne,Father,Roy
Denise Osbourne,Mother,Irene
Denise Osbourne,Sibling(s),Alison Dunkley
Denise Osbourne,Spouse(s),Frank Osbourne (1981)  Neil Mitchell (1990)
