Character,Field,Value
Jack Webster,Number of appearances,293 (as of Episode 11557/8)
Jackie Dobbs,No times married,1.0
Jackie Dobbs,Died,23rd July 2018
Jackie Dobbs,Duration,"1998-1999, 2008, 2009, 2010"
Jackie Dobbs,Number of appearances,65
Jackie Dobbs,Last appearance,18th March 2010 (full appearance)5th September 2018(obscured on video tape recording)
Jackie Dobbs,First appearance,29th March 1998
Jackie Dobbs,Spouse(s),Darren Dobbs
Jackie Dobbs,Bigamy committed,False
Jackie Dobbs,Gender,Female
Jackie Dobbs,Born,24th August 1954
Jackie Dobbs,Played by,Margi Clarke
Jackie Ingram,Last appearance,15th June 1992
Jackie Ingram,Spouse(s),Peter Ingram  Mike Baldwin (1991)
Jackie Ingram,Born,5th July
Jackie Ingram,Occupation,Businesswoman
Jackie Ingram,Sec,High
Jackie Ingram,Duration,"1990-1991, 1992"
Jackie Ingram,Played by,Shirin Taylor
Jackie Ingram,Number of appearances,75
Jackie Ingram,No times married,2.0
Jackie Ingram,Bigamy committed,False
Jackie Ingram,Gender,Female
Jackie Ingram,Sic,"Professional, scientific & technical activities"
Jackie Ingram,First appearance,8th August 1990
Jacob Hay,Number of appearances,99
Jacob Hay,Played by,Jack James Ryan
Jacob Hay,Last appearance,13th January 2023
Jacob Hay,First appearance,1st February 2021
Jacob Hay,Bigamy committed,False
Jacob Hay,Father,Damon Hay
Jacob Hay,Gender,Male
Jacob Hay,Duration,2021-2023
Jacob Hay,Sibling(s),A sister
Jacob Hay,No times married,0.0
Jake Windass,Born,27th May 2013
Jake Windass,Number of appearances,131 (as of Episode 11557/8)
Jake Windass,First appearance,27th May 2013
Jake Windass,Birthplace,Weatherfield General
Jake Windass,Gender,Male
Jake Windass,Father,Gary Windass
Jake Windass,Sibling(s),Zack Rubinstein (half-brother)
Jake Windass,Residence,5 Victoria Court
Jake Windass,Mother,Izzy ArmstrongTina McIntyre (Surrogate)
Jake Windass,Played by,Harley & Layton Phoenix (2013-2015)Seth & Theo Wild (2016-2018)Bobby Bradshaw (2018 to present)
Jake Windass,Duration,"2013-2019, 2021 to present"
Jake Windass,Bigamy committed,False
Jake Windass,No times married,0.0
Jamie Armstrong,Bigamy committed,False
Jamie Armstrong,Played by,Joseph Gilgun
Jamie Armstrong,Gender,Male
Jamie Armstrong,No times married,0.0
Jamie Armstrong,Number of appearances,107
Jamie Armstrong,Duration,1994-1997
Jamie Armstrong,Sibling(s),Brad Armstrong (half-brother)
Jamie Armstrong,First appearance,7th March 1994
Jamie Armstrong,Mother,Tricia Armstrong
Jamie Armstrong,Born,18th February 1984
Jamie Armstrong,Father,Carl Armstrong
Jamie Armstrong,Last appearance,2nd May 1997
Jamie Baldwin,Born,27th June 1980
Jamie Baldwin,Mother,Carol Baldwin
Jamie Baldwin,Gender,Male
Jamie Baldwin,Number of appearances,416
Jamie Baldwin,No times married,0.0
Jamie Baldwin,Sec,Low
Jamie Baldwin,Occupation,Taxi driver
Jamie Baldwin,Last appearance,24th April 2011
Jamie Baldwin,Residence,London
Jamie Baldwin,Father,Danny Baldwin
Jamie Baldwin,Sibling(s),Warren Baldwin (half-brother)
Jamie Baldwin,Sic,Transport & storage
Jamie Baldwin,Played by,Rupert Hill
Jamie Baldwin,Duration,"2004-2008, 2011"
Jamie Baldwin,Bigamy committed,False
Jamie Baldwin,First appearance,19th July 2004
Janet Barlow,Gender,Female
Janet Barlow,Last appearance,21st February 1977
Janet Barlow,Father,Charles Reid
Janet Barlow,Occupation,Town clerk
Janet Barlow,First appearance,16th June 1969
Janet Barlow,Born,28th November 1942
Janet Barlow,Died,21st February 1977
Janet Barlow,Mother,Jacqueline Reid
Janet Barlow,Number of appearances,71
Janet Barlow,No times married,1.0
Janet Barlow,Sec,Medium
Janet Barlow,Duration,"1969, 1971, 1973-1974, 1975, 1977"
Janet Barlow,Birthplace,Keswick
Janet Barlow,Played by,Judith Barker
Janet Barlow,Bigamy committed,False
Janet Barlow,Sic,Public admin & defence; social security
Janet Barlow,Spouse(s),Ken Barlow (1973)
Janet Barlow,Sibling(s),Helen Reid
Janice Battersby,Born,17th June 1965
Janice Battersby,Residence,Liverpool
Janice Battersby,Bigamy committed,False
Janice Battersby,Gender,Female
Janice Battersby,Number of appearances,1557
Janice Battersby,Sibling(s),Janet Lee
Janice Battersby,Father,Rod Lee
Janice Battersby,First appearance,6th January 1997
Janice Battersby,Birthplace,Weatherfield
Janice Battersby,Spouse(s),Les Battersby (1994)
Janice Battersby,Mother,Dottie Lee
Janice Battersby,Last appearance,25th March 2011
Janice Battersby,Sic,Manufacturing
Janice Battersby,No times married,1.0
Janice Battersby,Played by,Vicky Entwistle
Janice Battersby,Children,Toyah Lee (1982)
Janice Battersby,Occupation,Machinist
Janice Battersby,Duration,1997-2011
Janice Battersby,Sec,Low
Jason Grimshaw,Last appearance,29th June 2016
Jason Grimshaw,Duration,2000-2016
Jason Grimshaw,Bigamy committed,False
Jason Grimshaw,No times married,1.0
Jason Grimshaw,Occupation,Builder
Jason Grimshaw,Sibling(s),Todd Grimshaw (half-brother)
Jason Grimshaw,Born,27th June 1983
Jason Grimshaw,Number of appearances,1509
Jason Grimshaw,Sec,Low
Jason Grimshaw,Father,Tony Stewart
Jason Grimshaw,First appearance,25th December 2000
Jason Grimshaw,Gender,Male
Jason Grimshaw,Sic,Construction
Jason Grimshaw,Played by,Ryan Thomas
Jason Grimshaw,Residence,Thailand
Jason Grimshaw,Spouse(s),Sarah Platt (2007)
Jason Grimshaw,Mother,Eileen Grimshaw
Jed Stone,Last appearance,2nd February 2009
Jed Stone,Duration,"1961, 1962-1963, 1966, 2008-2009"
Jed Stone,Played by,Kenneth Cope
Jed Stone,Father,"""Spider"" Stone"
Jed Stone,Occupation,Criminal (retired)
Jed Stone,No times married,0.0
Jed Stone,Birthplace,Liverpool
Jed Stone,Sec,Low
Jed Stone,Gender,Male
Jed Stone,First appearance,24th April 1961
Jed Stone,Sic,Other services
Jed Stone,Number of appearances,128
Jed Stone,Born,6th March 1940
Jed Stone,Residence,"Square Apartments, Wigan"
Jed Stone,Bigamy committed,False
Jenna Kamara,Gender,Female
Jenna Kamara,Last appearance,13th August 2014
Jenna Kamara,Mother,Mandy Kamara
Jenna Kamara,Residence,Madrid
Jenna Kamara,Born,24th April 1984
Jenna Kamara,Bigamy committed,False
Jenna Kamara,Duration,2012-2014
Jenna Kamara,Father,Lloyd Mullaney (biological father)Johnny Kamara (legal father)
Jenna Kamara,Played by,Krissi Bohn
Jenna Kamara,No times married,0.0
Jenna Kamara,Sibling(s),younger half-sister
Jenna Kamara,Birthplace,Nottingham
Jenna Kamara,Number of appearances,154
Jenna Kamara,First appearance,19th September 2012
Jenny Connor,Duration,"1986-1991, 1993, 2015, 2016 to present"
Jenny Connor,No times married,2.0
Jenny Connor,Occupation,Part-time counter staff at The Kabin
Jenny Connor,Gender,Female
Jenny Connor,Spouse(s),Gregory Midgeley  Johnny Connor (2017)
Jenny Connor,Sec,Low
Jenny Connor,Number of appearances,1390 (as of Episode 11557/8)
Jenny Connor,Born,4th March 1971
Jenny Connor,Residence,10a Coronation Street
Jenny Connor,Children,Tom Midgeley (2008)
Jenny Connor,Father,Alan Bradley
Jenny Connor,First appearance,6th January 1986
Jenny Connor,Played by,Sally Ann Matthews
Jenny Connor,Bigamy committed,False
Jenny Connor,Sic,"Wholesale, retail & repair of motor vehicles"
Jenny Connor,Mother,Pat Bradley
Jerry Booth,Died,10th November 1975
Jerry Booth,Gender,Male
Jerry Booth,Children,One daughter (1964)
Jerry Booth,Occupation,Builder
Jerry Booth,Sic,Construction
Jerry Booth,No times married,1.0
Jerry Booth,Duration,"1962-1964, 1965-1968, 1971-1975"
Jerry Booth,Sec,Low
Jerry Booth,Last appearance,29th October 1975
Jerry Booth,Bigamy committed,False
Jerry Booth,Mother,Nellie Booth
Jerry Booth,Spouse(s),Myra Dickinson (1963)
Jerry Booth,First appearance,23rd July 1962
Jerry Booth,Father,Ernest Booth
Jerry Booth,Born,2nd August 1941
Jerry Booth,Played by,Graham Haberfield
Jerry Booth,Number of appearances,651
Jerry Morton,Last appearance,29th September 2008
Jerry Morton,Duration,2007-2008
Jerry Morton,Sic,"Wholesale, retail & repair of motor vehicles"
Jerry Morton,Occupation,Shopkeeper
Jerry Morton,No times married,1.0
Jerry Morton,Children,Jodie Morton (1978)  Darryl Morton (1989)  Mel Morton (1989)  Kayleigh Morton (1994)
Jerry Morton,Residence,Spain
Jerry Morton,Born,12th November 1957
Jerry Morton,First appearance,18th March 2007
Jerry Morton,Sec,Low
Jerry Morton,Father,Wilf Morton
Jerry Morton,Number of appearances,168
Jerry Morton,Gender,Male
Jerry Morton,Bigamy committed,False
Jerry Morton,Spouse(s),Teresa Bryant (1978)
Jerry Morton,Played by,Michael Starke
Jesse Chadwick,Gender,Male
Jesse Chadwick,Residence,France
Jesse Chadwick,Played by,John Thomson
Jesse Chadwick,Born,20th November 1969
Jesse Chadwick,Duration,"2008, 2009-2010, 2024"
Jesse Chadwick,Last appearance,25th December 2024 (2)
Jesse Chadwick,Spouse(s),Shirley Chadwick  Jayne Chadwick  Gail Rodwell (2024)
Jesse Chadwick,Number of appearances,90
Jesse Chadwick,First appearance,15th December 2008
Jesse Chadwick,No times married,3.0
Jesse Chadwick,Occupation,Former children's entertainer  Electrician
Jesse Chadwick,Bigamy committed,False
Jessie Jackson,No times married,0.0
Jessie Jackson,Sec,Low
Jessie Jackson,Sic,Manufacturing
Jessie Jackson,Gender,Female
Jessie Jackson,Occupation,Factory worker
Jessie Jackson,Played by,Nailah Cumberbatch
Jessie Jackson,Number of appearances,63
Jessie Jackson,Duration,2005-2006
Jessie Jackson,Last appearance,27th January 2006
Jessie Jackson,First appearance,28th February 2005
Jessie Jackson,Bigamy committed,False
Jessie Jackson,Mother,May Jackson
Jim McDonald,Bigamy committed,False
Jim McDonald,Last appearance,12th October 2018
Jim McDonald,First appearance,27th October 1989
Jim McDonald,Father,Edward McDonald
Jim McDonald,Mother,Maisie McDonald
Jim McDonald,Birthplace,Northern Ireland
Jim McDonald,Born,14th November 1955
Jim McDonald,Sibling(s),Eileen McDonald
Jim McDonald,Duration,"1989-2000, 2003, 2004, 2005, 2007-2008, 2009, 2010, 2011, 2014, 2018"
Jim McDonald,No times married,2.0
Jim McDonald,Played by,Charles Lawson
Jim McDonald,Number of appearances,1168
Jim McDonald,Spouse(s),"Liz Greenwood (1974, 2000)"
Jim McDonald,Children,Andy McDonald (1974)  Steve McDonald (1974)  Katie McDonald (1992)
Jim McDonald,Gender,Male
Joanne Jackson,Sic,Manufacturing
Joanne Jackson,Sec,Low
Joanne Jackson,Born,5th January 1987
Joanne Jackson,Last appearance,20th July 2007
Joanne Jackson,Duration,2005-2007
Joanne Jackson,Played by,Zaraah Abrahams
Joanne Jackson,First appearance,28th February 2005
Joanne Jackson,Birthplace,Liberia
Joanne Jackson,Occupation,Factory worker
Joanne Jackson,Bigamy committed,False
Joanne Jackson,Number of appearances,218
Joanne Jackson,No times married,0.0
Joanne Jackson,Gender,Female
Jodie Morton,Sec,Low
Jodie Morton,No times married,0.0
Jodie Morton,First appearance,29th January 2007
Jodie Morton,Number of appearances,63
Jodie Morton,Duration,2007
Jodie Morton,Born,December 1978
Jodie Morton,Sic,"Wholesale, retail & repair of motor vehicles"
Jodie Morton,Bigamy committed,False
Jodie Morton,Mother,Teresa Bryant
Jodie Morton,Father,Jerry Morton
Jodie Morton,Sibling(s),Darryl Morton  Mel Morton  Kayleigh Morton  Finlay Bryant (half-brother)
Jodie Morton,Occupation,Shop assistant
Jodie Morton,Gender,Female
Jodie Morton,Last appearance,11th November 2007
Jodie Morton,Residence,London
Jodie Morton,Played by,Samantha Seager
Joe Carter,Duration,2002-2003
Joe Carter,Bigamy committed,False
Joe Carter,Sec,High
Joe Carter,Gender,Male
Joe Carter,First appearance,26th May 2002
Joe Carter,Last appearance,20th June 2003
Joe Carter,Number of appearances,135
Joe Carter,Sic,Financial & insurance activities
Joe Carter,Played by,Jonathan Wrather
Joe Carter,No times married,0.0
Joe Carter,Occupation,Businessman
Joe McIntyre,Sec,Low
Joe McIntyre,No times married,2.0
Joe McIntyre,Died,8th February 2010
Joe McIntyre,Born,11th April 1960
Joe McIntyre,Spouse(s),Ann McIntyre (divorced)  Gail Platt (2010)
Joe McIntyre,Gender,Male
Joe McIntyre,Number of appearances,175
Joe McIntyre,First appearance,26th May 2008
Joe McIntyre,Last appearance,"8th February 2010 (See ""Background information"" below)"
Joe McIntyre,Children,Tina McIntyre (1991)
Joe McIntyre,Played by,Reece Dinsdale
Joe McIntyre,Occupation,Kitchen Fitter
Joe McIntyre,Duration,2008-2010
Joe McIntyre,Bigamy committed,False
Joe McIntyre,Sic,Construction
Joel Deering,Number of appearances,125
Joel Deering,First appearance,7th September 2023 (2)
Joel Deering,Played by,Calum Lill
Joel Deering,Last appearance,27th September 2024 (2)  18th November 2024 (1) (Dream sequence)
Joel Deering,Father,Gus Deering
Joel Deering,Gender,Male
Joel Deering,Occupation,Solicitor
Joel Deering,Spouse(s),Emily Wilkinson
Joel Deering,No times married,1.0
Joel Deering,Sic,"Professional, scientific & technical activities"
Joel Deering,Sibling(s),Three brothers
Joel Deering,Bigamy committed,False
Joel Deering,Born,13th December
Joel Deering,Died,27th September 2024
Joel Deering,Duration,2023-2024
Joel Deering,Sec,High
Joel Deering,Mother,Anthea Deering
Joel Deering,Children,Maeve (2023)Frankie Bolton (2024)Laila Bailey (2025)
John Stape,Number of appearances,346
John Stape,No times married,1.0
John Stape,Gender,Male
John Stape,Died,28th October 2011
John Stape,Children,Jade Rowan  Hope Stape (2010)
John Stape,Last appearance,28th October 201116th January 2023 (voice)
John Stape,Spouse(s),Fiz Brown (2009)
John Stape,Bigamy committed,False
John Stape,Sic,Education
John Stape,Played by,Graeme Hawley
John Stape,Sec,Medium
John Stape,Born,22nd November 1978
John Stape,Duration,2007-2011
John Stape,Occupation,Teacher
John Stape,First appearance,6th May 2007
Johnny Connor,Born,30th July 1953
Johnny Connor,No times married,2.0
Johnny Connor,Spouse(s),Louisa Connor  Jenny Bradley (2017)
Johnny Connor,Father,James Connor
Johnny Connor,Gender,Male
Johnny Connor,First appearance,5th October 2015
Johnny Connor,Played by,Richard Hawley
Johnny Connor,Bigamy committed,False
Johnny Connor,Sic,Accommodation & food services
Johnny Connor,Children,Carla Donovan (1975)  Aidan Connor (1983)  Kate Connor (1989)
Johnny Connor,Duration,2015-2021
Johnny Connor,Last appearance,22nd October 2021
Johnny Connor,Number of appearances,587
Johnny Connor,Died,18th October 2021
Johnny Connor,Sec,Medium
Johnny Connor,Occupation,Publican
Joseph Brown,Bigamy committed,False
Joseph Brown,Number of appearances,319 (as of Episode 11557/8)
Joseph Brown,Birthplace,Weatherfield Community Hall
Joseph Brown,Father,Chesney Winter-Brown
Joseph Brown,Born,23rd December 2011
Joseph Brown,Played by,Ronny & Tommy Cheetham (2011-2014)  Lucca-Owen Warwick (2014-2015)  William Flanagan (2017 to present)
Joseph Brown,First appearance,23rd December 2011
Joseph Brown,No times married,0.0
Joseph Brown,Duration,"2011-2015, 2017 to present"
Joseph Brown,Mother,Katy Armstrong
Joseph Brown,Sibling(s),Aled Winter-Brown (half-brother)  Bryn Winter-Brown (half-brother)  Carys Winter-Brown (half-sister)  Llio Winter-Brown (half-sister)
Joseph Brown,Residence,5 Coronation Street
Joseph Brown,Gender,Male
Joshua Peacock,Born,8th April 2002
Joshua Peacock,Mother,Maxine Peacock (biological mother)Claire Peacock (legal mother)
Joshua Peacock,Played by,Brandon Jackson (2002-2004)  Benjamin Beresford (2003-2011)
Joshua Peacock,Residence,France
Joshua Peacock,Last appearance,14th January 2011
Joshua Peacock,Gender,Male
Joshua Peacock,Sibling(s),Freddie Peacock (Legal Brother)
Joshua Peacock,First appearance,8th April 2002
Joshua Peacock,No times married,0.0
Joshua Peacock,Number of appearances,328
Joshua Peacock,Duration,2002-2011
Joshua Peacock,Father,Matt Ramsden (biological father)Ashley Peacock (legal father)
Joshua Peacock,Birthplace,Weatherfield
Joshua Peacock,Bigamy committed,False
Josie Clarke,No times married,1.0
Josie Clarke,Spouse(s),A husband
Josie Clarke,Bigamy committed,False
Josie Clarke,Number of appearances,101
Josie Clarke,First appearance,16th January 1995
Josie Clarke,Occupation,Doctor's receptionist
Josie Clarke,Played by,Ellie Haddington
Josie Clarke,Children,A daughter
Josie Clarke,Last appearance,16th August 1996
Josie Clarke,Sec,Medium
Josie Clarke,Sic,Human health & social work activities
Josie Clarke,Gender,Female
Josie Clarke,Sibling(s),A sister
Josie Clarke,Duration,1995-1996
Joyce Smedley,Duration,1996-1997
Joyce Smedley,Occupation,Cleaner
Joyce Smedley,Sec,Low
Joyce Smedley,Father,Arthur Smedley
Joyce Smedley,Children,Judy Mallett (1971)
Joyce Smedley,Sic,Administrative & support services
Joyce Smedley,Number of appearances,71
Joyce Smedley,Gender,Female
Joyce Smedley,Played by,Anita Carey
Joyce Smedley,Bigamy committed,False
Joyce Smedley,Died,21st February 1997
Joyce Smedley,No times married,0.0
Joyce Smedley,Last appearance,21st February 1997
Joyce Smedley,Sibling(s),Beryl
Joyce Smedley,First appearance,23rd February 1996
Jude Appleton,Children,George Appleton (2017)
Jude Appleton,Played by,Paddy Wallace
Jude Appleton,Spouse(s),Angie Appleton (2016)
Jude Appleton,Duration,2016-2019
Jude Appleton,Sibling(s),half siblings
Jude Appleton,Mother,Mary Taylor
Jude Appleton,First appearance,25th December 2016
Jude Appleton,Born,28th November 1984
Jude Appleton,Last appearance,2nd January 2019
Jude Appleton,Number of appearances,91
Jude Appleton,Bigamy committed,False
Jude Appleton,Gender,Male
Jude Appleton,No times married,1.0
Jude Appleton,Birthplace,Newton-le-Willows
Judy Mallett,Children,Billy Mallett (1998)  Becky Mallett (1998)
Judy Mallett,Died,24th September 1999
Judy Mallett,Number of appearances,355
Judy Mallett,Spouse(s),Gary Mallett (1993)
Judy Mallett,Occupation,Arcade employee
Judy Mallett,Born,14th August 1971
Judy Mallett,Duration,1995-1999
Judy Mallett,Played by,Gaynor Faye
Judy Mallett,Last appearance,26th September 1999
Judy Mallett,Gender,Female
Judy Mallett,No times married,1.0
Judy Mallett,Sec,Low
Judy Mallett,Sic,Other services
Judy Mallett,First appearance,2nd October 1995
Judy Mallett,Mother,Joyce Smedley
Judy Mallett,Bigamy committed,False
Julie Carp,Mother,Paula Carp
Julie Carp,No times married,1.0
Julie Carp,Sic,Manufacturing
Julie Carp,Died,5th May 2025
Julie Carp,Last appearance,5th May 2025
Julie Carp,Sibling(s),Eileen Grimshaw (half-sister)
Julie Carp,Spouse(s),A husband
Julie Carp,Born,1977
Julie Carp,Bigamy committed,False
Julie Carp,Duration,"2008-2015, 2025"
Julie Carp,Occupation,Factory machinist
Julie Carp,Played by,Katy Cavanagh-Jupe
Julie Carp,Gender,Female
Julie Carp,Number of appearances,707 (as of Episode 11557/8)
Julie Carp,Father,Colin Grimshaw
Julie Carp,Sec,Low
Julie Carp,First appearance,25th April 2008
Kal Nazir,Born,c. 1972
Kal Nazir,Sic,Other services
Kal Nazir,Sec,Medium
Kal Nazir,Gender,Male
Kal Nazir,Died,25th May 2015
Kal Nazir,First appearance,8th December 2013
Kal Nazir,Duration,2013-2015
Kal Nazir,Mother,Yasmeen Nazir
Kal Nazir,Occupation,Personal trainer
Kal Nazir,Last appearance,28th May 2015
Kal Nazir,Children,Alya Nazir (1993) Zeedan Nazir (1995)
Kal Nazir,Father,Sharif Nazir
Kal Nazir,Played by,Jimi Mistry
Kal Nazir,Spouse(s),Jamila Nazir
Kal Nazir,Number of appearances,146
Kal Nazir,Bigamy committed,False
Kal Nazir,No times married,1.0
Karen McDonald,Mother,Margaret Phillips
Karen McDonald,Father,Malcolm Phillips
Karen McDonald,Occupation,Machinist
Karen McDonald,Born,July 1975
Karen McDonald,Played by,Suranne Jones
Karen McDonald,Sic,Manufacturing
Karen McDonald,Last appearance,26th December 2004
Karen McDonald,Duration,2000-2004
Karen McDonald,Spouse(s),"Steve McDonald (2001, 2004)"
Karen McDonald,No times married,2.0
Karen McDonald,Gender,Female
Karen McDonald,Number of appearances,496
Karen McDonald,Bigamy committed,False
Karen McDonald,Sec,Low
Karen McDonald,First appearance,21st June 2000
Karl Munro,Last appearance,13th September 2013
Karl Munro,Occupation,Barman
Karl Munro,No times married,1.0
Karl Munro,Born,27th April 1963
Karl Munro,Bigamy committed,False
Karl Munro,Sic,Accommodation & food services
Karl Munro,Played by,John Michie
Karl Munro,Number of appearances,305
Karl Munro,Spouse(s),Stella Price (2013)
Karl Munro,Gender,Male
Karl Munro,Duration,2011-2013
Karl Munro,Sec,Low
Karl Munro,First appearance,17th June 2011
Kate Connor,Father,Johnny Connor
Kate Connor,Last appearance,13th September 2019
Kate Connor,Born,16th November 1989
Kate Connor,No times married,0.0
Kate Connor,Duration,2015-2019
Kate Connor,Played by,Faye Brookes
Kate Connor,Mother,Louisa Connor
Kate Connor,Gender,Female
Kate Connor,Sibling(s),Carla Connor (half-sister)Aidan Connor
Kate Connor,Number of appearances,447
Kate Connor,Bigamy committed,False
Kate Connor,First appearance,5th October 2015
Katy Armstrong,Last appearance,20th March 2015 (full appearance)9th May 2016 (voice cameo)
Katy Armstrong,Gender,Female
Katy Armstrong,Born,10th September 1994
Katy Armstrong,Children,Joseph Brown (2011)
Katy Armstrong,Duration,"2010-2015, 2016"
Katy Armstrong,Sec,Low
Katy Armstrong,Mother,Linda Hancock
Katy Armstrong,Sic,Administrative & support services
Katy Armstrong,First appearance,30th July 2010
Katy Armstrong,Played by,Georgia May Foote
Katy Armstrong,Died,18th October 2017
Katy Armstrong,Father,Owen Armstrong
Katy Armstrong,Bigamy committed,False
Katy Armstrong,Number of appearances,396
Katy Armstrong,Sibling(s),Izzy Armstrong
Katy Armstrong,Occupation,Receptionist
Katy Armstrong,No times married,0.0
Katy Harris,Died,20th April 2005
Katy Harris,Born,26th September 1986
Katy Harris,Birthplace,Sheffield
Katy Harris,First appearance,13th November 2002
Katy Harris,Number of appearances,282
Katy Harris,Sibling(s),Craig Harris
Katy Harris,Last appearance,20th April 2005
Katy Harris,Mother,Angela Harris
Katy Harris,Gender,Female
Katy Harris,Duration,2002-2005
Katy Harris,Bigamy committed,False
Katy Harris,Father,Tommy Harris
Katy Harris,No times married,0.0
Katy Harris,Played by,Lucy-Jo Hudson
Kayleigh Morton,Gender,Female
Kayleigh Morton,Played by,Jessica Barden
Kayleigh Morton,Mother,Teresa Bryant
Kayleigh Morton,Duration,2007-2008
Kayleigh Morton,No times married,0.0
Kayleigh Morton,Bigamy committed,False
Kayleigh Morton,Last appearance,29th September 2008
Kayleigh Morton,Born,1994
Kayleigh Morton,Sibling(s),Jodie Morton  Darryl Morton  Mel Morton  Finlay Bryant (half-brother)
Kayleigh Morton,Number of appearances,72
Kayleigh Morton,Father,Jerry Morton
Kayleigh Morton,First appearance,18th March 2007
Kayleigh Morton,Residence,Spain
Keith Appleyard,Sibling(s),Margery Appleyard
Keith Appleyard,Number of appearances,128
Keith Appleyard,First appearance,23rd March 2005
Keith Appleyard,Sic,Manufacturing
Keith Appleyard,Sec,Medium
Keith Appleyard,Occupation,Taxidermist
Keith Appleyard,Duration,2005-2006
Keith Appleyard,Bigamy committed,False
Keith Appleyard,Residence,Bournemouth
Keith Appleyard,Spouse(s),Shirley Appleyard
Keith Appleyard,Children,Angela Harris (1964)  Lorraine  Pauline
Keith Appleyard,Played by,Ian Redford
Keith Appleyard,Last appearance,30th July 2006
Keith Appleyard,No times married,1.0
Keith Appleyard,Gender,Male
Kelly Crabtree,Duration,2004-2010
Kelly Crabtree,Sibling(s),A brother  A sister
Kelly Crabtree,No times married,0.0
Kelly Crabtree,Born,24th April 1979
Kelly Crabtree,Number of appearances,514
Kelly Crabtree,Last appearance,19th March 2010
Kelly Crabtree,Played by,Tupele Dorgu
Kelly Crabtree,Sic,Manufacturing
Kelly Crabtree,Bigamy committed,False
Kelly Crabtree,First appearance,6th September 2004
Kelly Crabtree,Gender,Female
Kelly Crabtree,Occupation,Factory machinist
Kelly Crabtree,Sec,Low
Kelly Neelan,First appearance,28th June 2019
Kelly Neelan,Bigamy committed,False
Kelly Neelan,Gender,Female
Kelly Neelan,No times married,0.0
Kelly Neelan,Born,22nd May 2005
Kelly Neelan,Number of appearances,215
Kelly Neelan,Last appearance,23rd September 2022
Kelly Neelan,Father,Rick Neelan
Kelly Neelan,Duration,"2019, 2020-2022"
Kelly Neelan,Played by,Millie Gibson
Kelly Neelan,Mother,Laura Neelan
Kelly Thomson,Sic,Education
Kelly Thomson,Duration,1996
Kelly Thomson,Played by,Sarah Moffett
Kelly Thomson,Last appearance,20th December 1996
Kelly Thomson,Mother,Lorraine Thomson
Kelly Thomson,Occupation,Childminder
Kelly Thomson,Bigamy committed,False
Kelly Thomson,Gender,Female
Kelly Thomson,Number of appearances,53
Kelly Thomson,No times married,0.0
Kelly Thomson,First appearance,9th February 1996
Kelly Thomson,Born,c.1977
Kelly Thomson,Sibling(s),Tina Thomson
Kelly Thomson,Sec,Low
Ken Barlow,Born,9th October 1939
Ken Barlow,Bigamy committed,False
Ken Barlow,First appearance,9th December 1960
Ken Barlow,Occupation,Teacher (retired)
Ken Barlow,Played by,William Roache
Ken Barlow,Mother,Ida Barlow
Ken Barlow,Birthplace,"3 Coronation Street, Weatherfield"
Ken Barlow,Duration,"1960-2013, 2014 to present"
Ken Barlow,Number of appearances,4909 (as of Episode 11557/8)
Ken Barlow,Gender,Male
Ken Barlow,Sec,High
Ken Barlow,No times married,3.0
Ken Barlow,Residence,1 Coronation Street
Ken Barlow,Sibling(s),David Barlow
Ken Barlow,Spouse(s),"Valerie Tatlock (1962)  Janet Reid (1973)  Deirdre Langton (1981, 2005)"
Ken Barlow,Father,Frank Barlow
Ken Barlow,Sic,Education
Ken Barlow,Children,"Lawrence Cunningham (1961)  Susan Barlow (1965)  Peter Barlow (1965)  Tracy Langton (adoptive, 1986)  Daniel Osbourne (1995)"
Kevin Webster,Duration,"1983-2013, 2014 to present"
Kevin Webster,Sic,"Wholesale, retail & repair of motor vehicles"
Kevin Webster,Born,3rd September 1965
Kevin Webster,Residence,13 Coronation Street
Kevin Webster,Sibling(s),Debbie WebsterCarl Webster (half-brother)
Kevin Webster,Spouse(s),"Sally Seddon (1986, 2002)Alison Wakefield (2000)Abi Franklin (2021)"
Kevin Webster,No times married,4.0
Kevin Webster,Number of appearances,3576 (as of Episode 11557/8)
Kevin Webster,Bigamy committed,False
Kevin Webster,Father,Bill Webster
Kevin Webster,Occupation,Co-owner of Websters' Auto Centre
Kevin Webster,Played by,Michael Le Vell
Kevin Webster,Children,Rosie Webster (1990)Sophie Webster (1994)Jake Webster (2000)Jack Dobbs (2010)
Kevin Webster,First appearance,19th October 1983
Kevin Webster,Sec,Medium
Kevin Webster,Mother,Alison Webster
Kevin Webster,Gender,Male
Kimberley Taylor,No times married,0.0
Kimberley Taylor,Occupation,Shop assistant
Kimberley Taylor,Last appearance,27th November 1992
Kimberley Taylor,Played by,Suzanne Hall
Kimberley Taylor,Gender,Female
Kimberley Taylor,First appearance,25th October 1989
Kimberley Taylor,Sic,"Wholesale, retail & repair of motor vehicles"
Kimberley Taylor,Bigamy committed,False
Kimberley Taylor,Duration,"1989-1991, 1992"
Kimberley Taylor,Mother,Brenda Taylor
Kimberley Taylor,Father,Randolph Taylor
Kimberley Taylor,Number of appearances,105
Kimberley Taylor,Sec,Low
Kirk Sutherland,Sec,Low
Kirk Sutherland,Played by,Andrew Whyment
Kirk Sutherland,Occupation,Packer at Underworld
Kirk Sutherland,Bigamy committed,True
Kirk Sutherland,Born,28th January 1982
