Character,Birthplace,Children,Duration,Father,Gender,Mother,Number of appearances,Occupation,Played by,Residence,Sec,Sibling(s),Sic,Spouse(s),Born,Died,First appearance,Last appearance,Exit status,Exit date,Start date,Segment,Max segment
Elsie Tanner,"18 Gas Street,Weatherfield",Linda Tanner (1940)Dennis Tanner (1942),"1960-1973, 1976-1984",Arthur Grimshaw,Female,Alice Grimshaw,1606,Retail clerk,Patricia Phoenix,,Low,Fay ButlerPhyllis BaileyEthel GrimshawConnie GrimshawIris GrimshawFreda GrimshawNancy GrimshawPolly GrimshawJack Grimshaw  Unnamed stillborn brother,"Wholesale, retail & repair of motor vehicles",Arnold Tanner (1939)Stephen Tanner (1967)Alan Howard (1970) William Gregory (1984),1923-03-05,2004-06-01,1960-12-09,1984-01-04,Exit,1984-01-04,1976-06-30,2,2
Emily Bishop,Harrogate,,"1960-1961, 1962-1966, 1967-2016, 2019",James Nugent,Female,Agnes Nugent,3303,Shop assistant (retired),Eileen Derbyshire,"16a Turnham Street, Edinburgh",Low,Edgar NugentNorah SeddonBrenda NugentJoan CorrieMarjorie Nugent,"Wholesale, retail & repair of motor vehicles","Ernest Bishop (1972)  Arnold Swain (1980, bigamous)",1929-10-18,,1960-12-21,2019-10-09,Exit,2016-06-30,1960-12-21,1,2
Emily Bishop,Harrogate,,"1960-1961, 1962-1966, 1967-2016, 2019",James Nugent,Female,Agnes Nugent,3303,Shop assistant (retired),Eileen Derbyshire,"16a Turnham Street, Edinburgh",Low,Edgar NugentNorah SeddonBrenda NugentJoan CorrieMarjorie Nugent,"Wholesale, retail & repair of motor vehicles","Ernest Bishop (1972)  Arnold Swain (1980, bigamous)",1929-10-18,,1960-12-21,2019-10-09,Exit,2019-10-09,2019-06-30,2,2
Emma Brooker,,,2018-2022,Steve McDonald,Female,Fiona Middleton,391,Barmaid  Hairdresser,Alexandra Mardell,Australia,Low,Morgan Middleton (half-brother)Amy Barlow (half-sister)Ruairi McDonald (half-brother)Oliver Battersby (half-brother),Accommodation & food services,,1999-05-03,,2018-04-20,2022-04-08,Exit,2022-04-08,2018-04-20,1,1
Emma Watts,,Ben Watts (2001),2000-2003,,Female,,265,Police sergeant,Angela Lonsdale,Newcastle,Medium,,Public admin & defence; social security,Norman Watts (2000),,,2000-04-10,2003-09-01,Exit,2003-09-01,2000-04-10,1,1
Ena Sharples,Weatherfield,Vera Sharples (1921)Madge Sharples (1924)Ian Sharples,1960-1980,Thomas Schofield,Female,Mary Schofield,1136,Caretaker (retired),Violet Carson,,Low,Alice Raybould Tom Schofield,Administrative & support services,Alfred Sharples (1920),1899-11-24,,1960-12-09,1980-04-02,Exit,1980-04-02,1960-12-09,1,1
Erica Holroyd,,,2014-2017,,Female,,157,Waitress,Claire King,Spain,Low,Lee,Accommodation & food services,,1965-06-24,,2014-12-15,2017-08-04,Exit,2017-08-04,2014-12-15,1,1
Ernest Bishop,,,"1967, 1969-1978",George Bishop,Male,Caroline Bishop,410,Photographer,Stephen Hancock,,Medium,Edie Burgess,"Professional, scientific & technical activities",Emily Nugent (1972),1930-08-11,1978-01-11,1967-09-06,1978-01-11,Exit,1967-09-07,1967-09-06,1,2
Ernest Bishop,,,"1967, 1969-1978",George Bishop,Male,Caroline Bishop,410,Photographer,Stephen Hancock,,Medium,Edie Burgess,"Professional, scientific & technical activities",Emily Nugent (1972),1930-08-11,1978-01-11,1967-09-06,1978-01-11,Death,1978-01-11,1969-06-30,2,2
Esther Hayes,Weatherfield,,"1960-1961, 1962, 1963, 1971, 1972",Sidney Hayes,Female,Alice Hayes,64,Civil servant,Daphne Oxenford,Nottingham,Medium,Ada HayesFred Hayes  Tom Hayes,Public admin & defence; social security,,1924-05-10,,1960-12-14,1972-04-05,Exit,1963-06-30,1960-12-14,1,2
Esther Hayes,Weatherfield,,"1960-1961, 1962, 1963, 1971, 1972",Sidney Hayes,Female,Alice Hayes,64,Civil servant,Daphne Oxenford,Nottingham,Medium,Ada HayesFred Hayes  Tom Hayes,Public admin & defence; social security,,1924-05-10,,1960-12-14,1972-04-05,Exit,1972-04-05,1971-06-30,2,2
Eunice Gee,,Debbie Nuttall,"1981, 1982, 1999",Sid Clarke,Female,,72,Barmaid,Meg Johnson,Spain,Low,Dolly Clarke,Accommodation & food services,Mr. Nuttall  Fred Gee (1981),1937-10-01,,1981-03-23,1999-05-24,Exit,1982-06-30,1981-03-23,1,2
Eunice Gee,,Debbie Nuttall,"1981, 1982, 1999",Sid Clarke,Female,,72,Barmaid,Meg Johnson,Spain,Low,Dolly Clarke,Accommodation & food services,Mr. Nuttall  Fred Gee (1981),1937-10-01,,1981-03-23,1999-05-24,Exit,1999-05-24,1999-05-23,2,2
Eva Price,,Susie Price (2018),2011-2018,,Female,Stella Price,785,,Catherine Tyldesley,Brighton,,Leanne Battersby (half-sister),,,1988-02-10,,2011-06-17,2018-08-03,Exit,2018-08-03,2011-06-17,1,1
Evelyn Elliott,,Linda Baldwin (1975)  Jimmy Sykes  Ryan Sykes  Dean Sykes (1983) 1 other son,"2000, 2001-2002",,Female,,117,Barmaid,Melanie Kilburn,,Low,,Accommodation & food services,"Ray Sykes  Fred Elliott (2001, bigamous)",,,2000-10-20,2002-05-10,Exit,2002-05-10,2000-10-20,1,1
Evelyn Plummer,,Cassandra Plummer,2018 to present,,Female,,526 (as of Episode 11557/8),,Maureen Lipman,9 Coronation Street,,Millie Pritchard,,Harold Plummer,1946-03-17,,2018-09-12,,Alive,2025-06-30,2018-09-12,1,1
Faye Windass,,Miley Windass (2015),2011-2023,Tim Metcalfe,Female,"Jenny Butler  Anna Windass (adoptive, 2011)",759,Telesales agent,Ellie Leach,Slough,Low,Gary Windass (adoptive half-brother),"Wholesale, retail & repair of motor vehicles",,2002-03-13,,2011-01-24,2023-05-24,Exit,2023-05-24,2011-01-24,1,1
Felicity Khan,,,1990,Mr Khan,Female,,35,Student,Rita Wolf,France,Low,Joanne Khan,Education,,,,1990-02-14,1990-08-01,Exit,1990-08-01,1990-02-14,1,1
Finlay Bryant,,,2007-2008,,Male,Teresa Bryant,52,,Ramone Quinn,Spain,,Jodie Morton (half-sister)Darryl Morton (half-brother)Mel Morton (half-sister)Kayleigh Morton (half-sister),,,2000-10-07,,2007-04-06,2008-09-29,Exit,2008-09-29,2007-04-06,1,1
Fiona Middleton,,Morgan Middleton (1998)  Emma Brooker (1999),"1992-1998, 2019",Clive Middleton,Female,Pam Middleton,493,Hairdresser,Angela Griffin,"Melbourne, Australia",Low,Lee Middleton  An older sister,Other services,John Brooker,1975-12-02,,1992-12-14,2019-08-21,Exit,1998-06-30,1992-12-14,1,2
Fiona Middleton,,Morgan Middleton (1998)  Emma Brooker (1999),"1992-1998, 2019",Clive Middleton,Female,Pam Middleton,493,Hairdresser,Angela Griffin,"Melbourne, Australia",Low,Lee Middleton  An older sister,Other services,John Brooker,1975-12-02,,1992-12-14,2019-08-21,Exit,2019-08-21,2019-06-30,2,2
Fiz Dobbs,,Hope Stape (2010),2001 to present,,Female,Cilla Battersby-Brown,2512 (as of Episode 11557/8),Antiques dealer  Machinist,Jennie McAlpine,9 Coronation Street,Low,Billy Brown (half-brother)Chesney Brown (half-brother),"Wholesale, retail & repair of motor vehicles",John Stape (2009)Phill Whittaker (2022)Tyrone Dobbs (2022),1984-09-25,,2001-04-20,,Alive,2025-06-30,2001-04-20,1,1
Florrie Lindley,,,1960-1965,,Female,,310,Shopkeeper,Betty Alberge,Canada,Low,,"Wholesale, retail & repair of motor vehicles",Norman Lindley,1922-06-12,,1960-12-09,1965-06-02,Exit,1965-06-02,1960-12-09,1,1
Frank Barlow,Weatherfield,Ken Barlow (1939)David Barlow (1942),"1960-1964, 1967, 1971",Sidney Barlow,Male,Edna Barlow,273,Retired Postman and DIY shop owner,Frank Pemberton,,Low,Marjorie Barlow,"Wholesale, retail & repair of motor vehicles",Ida Leathers (1938),1913-10-19,,1960-12-09,1971-02-03,Exit,1964-06-30,1960-12-09,1,2
Frank Barlow,Weatherfield,Ken Barlow (1939)David Barlow (1942),"1960-1964, 1967, 1971",Sidney Barlow,Male,Edna Barlow,273,Retired Postman and DIY shop owner,Frank Pemberton,,Low,Marjorie Barlow,"Wholesale, retail & repair of motor vehicles",Ida Leathers (1938),1913-10-19,,1960-12-09,1971-02-03,Exit,1971-02-03,1971-02-02,2,2
Frank Foster,,,2011-2012,Sam Foster,Male,Anne Foster,138,Businessman,Andrew Lancel,,High,,Financial & insurance activities,,1971-07-01,2012-03-05,2011-01-20,2012-03-08,Death,2012-03-05,2011-01-20,1,1
Frankie Baldwin,,Warren Baldwin (1986),2004-2006,,Female,,340,,Debra Stephenson,Romania,,a sister,,Danny Baldwin (1986)  Dean Fraser (2009),,,2004-06-06,2006-12-31,Exit,2006-12-31,2004-06-06,1,1
Frankie Bolton,Weatherfield General,,2024 to present,Joel Deering,Female,Lauren Bolton,45 (as of Episode 11557/8),,Roman Thresh,,,Maeve (half-sister)Laila Bailey (half-sister),,,2024-08-02,,2024-08-05,,Alive,2025-06-30,2024-08-05,1,1
Fred Elliott,,Ashley Peacock (1976),"1994, 1995, 1996-2006",William Elliott,Male,Amelia Elliott,1065,Butcher,John Savident,,Low,Beryl Peacock,"Wholesale, retail & repair of motor vehicles","Sybil Elliott (1959)  Maureen Holdsworth (1997)  Evelyn Sykes (2001, bigamous)",1938-10-27,2006-10-09,1994-08-26,2006-10-11,Death,2006-10-09,1994-08-26,1,1
Fred Gee,,,"1975,  1976-1984",,Male,,561,Barman,Fred Feast,,Low,a brother and a sister,Accommodation & food services,Edna Gee  Eunice Nuttall (1981),1929-10-06,1998-11-01,1975-09-29,1984-11-28,Exit,1984-11-28,1975-09-29,1,1
Freddie Peacock,Weatherfield,,2006-2011,Ashley Peacock,Male,Claire Peacock,144,,Jack & Jake Rogers (2006) Dylan & Hayden Whitbread (2006-2009)  Lewis & Niall Beresford (2009-2011),France,,Joshua Peacock (Legal brother),,,2006-07-17,,2006-07-17,2011-01-14,Exit,2011-01-14,2006-07-17,1,1
Freddie Smith,,,2016-2017,,Male,,66,Mechanic (retired),Derek Griffiths,Scotland,Low,,"Wholesale, retail & repair of motor vehicles",Sadie Smith,,,2016-03-11,2017-04-21,Exit,2017-04-21,2016-03-11,1,1
Gail Chadwick,,Nick Tilsley (1980)  Sarah Barlow (1987)  David Platt (1990),"1974, 1975-2024",Ted Page,Female,Audrey Roberts,4606,,Helen Worth,France,,Stephen Reid (half-brother),,"Brian Tilsley (1979, 1988)  Martin Platt (1991)  Richard Hillman (2002)  Joe McIntyre (2010)  Michael Rodwell (2015)  Jesse Chadwick (2024)",1958-04-16,,1974-07-29,2024-12-25,Exit,2024-12-25,1974-07-29,1,1
Gary Mallett,Oldham,Billy Mallett (1998)  Becky Mallett (1998),1995-2000,Peter Mallett,Male,Mrs Mallett,424,Builder,Ian Mercer,Blackpool,Low,Shane Mallett,Construction,Judy Smedley (1993),,,1995-10-02,2000-10-01,Exit,2000-10-01,1995-10-02,1,1
Gary Windass,Weatherfield General,Jake Windass (2013)Zack Rubinstein (2018),2008 to present,Eddie Windass,Male,Anna Windass,1451 (as of Episode 11557/8),Debt collector,Mikey North,5 Victoria Court,Low,Faye Windass (adoptive half-sister),Financial & insurance activities,Maria Connor (2020),1986-03-19,,2008-11-14,,Alive,2025-06-30,2008-11-14,1,1
Geena Gregory,,,2000-2002,Maurice Gregory,Female,Gill Gregory,331,Barmaid,Jennifer James,Wigan,Low,A brother,Accommodation & food services,,1977-07-24,,2000-02-09,2002-10-11,Exit,2002-10-11,2000-02-09,1,1
Gemma Winter-Brown,,Aled Winter-Brown (2019)Bryn Winter-Brown (2019)Carys Winter-Brown (2019)Llio Winter-Brown (2019),"2014, 2015, 2016 to present",Denny Foreman,Female,Bernie Winter,955 (as of Episode 11557/8),Barmaid,Dolly-Rose Campbell,5 Coronation Street,Low,Paul ForemanKit Green (half brother),Accommodation & food services,Chesney Brown (2023),1990-08-24,,2014-10-01,,Alive,2025-06-30,2014-10-01,1,1
Geoff Metcalfe,,Tim Metcalfe (1972),2018-2020,,Male,,237,DJ  Restaurateur,Ian Bartholomew,,Medium,,Accommodation & food services,"Elaine Jones, aka Philippa (1971)  Tessa Metcalfe (1974)  Yasmeen Nazir (2019)",1950-04-24,2020-12-09,2018-03-28,2020-12-11,Death,2020-12-09,2018-03-28,1,1
George Appleton,South Africa,,2017-2019,Jude Appleton,Male,Angie Appleton,48,,Romeo Cheetham-Karcz,South Africa,,,,,2017-02-01,,2017-08-14,2019-01-07,Exit,2019-01-07,2017-08-14,1,1
George Shuttleworth,,,2020 to present,Archie Shuttleworth,Male,,349 (as of Episode 11557/8),Undertaker,Tony Maudsley,11 Coronation Street,Medium,Glenda Shuttleworth,Other services,,,,2020-09-16,,Alive,2025-06-30,2020-09-16,1,1
George Wardle,,,1985-1986,,Male,,59,Van driver,Ron Davies,,Low,A brother,Transport & storage,Myra Wardle,,,1985-03-11,1986-02-12,Exit,1986-02-12,1985-03-11,1,1
Gina Seddon,Weatherfield,Judy   a son,"1988-1989, 2017-2019",Eddie Seddon,Female,Elsie Seddon,213,,Julie Foy (1988-1989)Connie Hyde (2017-2019),Newcastle,,Sally Seddon,,Colin  Donnie Buckley,1969-11-01,,1988-03-14,2019-04-01,Exit,1989-06-30,1988-03-14,1,2
Gina Seddon,Weatherfield,Judy   a son,"1988-1989, 2017-2019",Eddie Seddon,Female,Elsie Seddon,213,,Julie Foy (1988-1989)Connie Hyde (2017-2019),Newcastle,,Sally Seddon,,Colin  Donnie Buckley,1969-11-01,,1988-03-14,2019-04-01,Exit,2019-04-01,2017-06-30,2,2
Glenda Shuttleworth,,,2022 to present,Archie Shuttleworth,Female,,261 (as of Episode 11557/8),BarmaidStage school manager,Jodie Prenger,"2 Conifer Avenue, Oakhill",Low,George Shuttleworth,Accommodation & food services,,,,2022-08-05,,Alive,2025-06-30,2022-08-05,1,1
Gloria Price,Manchester,Stella Price (1963),2012-2014,,Female,,172,Waitress,Sue Johnston,Morocco,Low,,Accommodation & food services,,1942-06-01,,2012-09-05,2014-02-21,Exit,2014-02-21,2012-09-05,1,1
Gloria Todd,,,1985-1988,,Female,,231,Barmaid,Sue Jenkins,"Flat 2, 41 Ashdale Road",Low,Richard Armstrong (half-brother),Accommodation & food services,,1958-04-20,,1985-01-16,1988-11-30,Exit,1988-11-30,1985-01-16,1,1
Glory Bailey,Weatherfield General,,2021 to present,Michael Bailey,Female,Grace Vickers,32 (as of Episode 11557/8),,Kamiyah Brown (2021)  Eleanor Beckles (2021-2023)  Maiya M (2024 to present),3 Coronation Street,,,,,2021-03-17,,2021-05-14,,Alive,2025-06-30,2021-05-14,1,1
Gordon Clegg,,Peter Clegg (1985),"1968-1969, 1974-1975, 1976, 1982, 1995, 2002, 2004, 2012",Ted FarrellLes Clegg (adoptive),Male,Betty WilliamsMaggie Cooke (adoptive),104,Accountant,"Bill Kenwright (1968-1995, 2012) Geoffrey Leesley (2002-2004)",Wimbledon,High,a half-sister,Financial & insurance activities,Caroline Wilson (1982),1950-05-20,,1968-04-15,2012-04-20,Exit,1969-06-30,1968-04-15,1,3
Gordon Clegg,,Peter Clegg (1985),"1968-1969, 1974-1975, 1976, 1982, 1995, 2002, 2004, 2012",Ted FarrellLes Clegg (adoptive),Male,Betty WilliamsMaggie Cooke (adoptive),104,Accountant,"Bill Kenwright (1968-1995, 2012) Geoffrey Leesley (2002-2004)",Wimbledon,High,a half-sister,Financial & insurance activities,Caroline Wilson (1982),1950-05-20,,1968-04-15,2012-04-20,Exit,1976-06-30,1974-06-30,2,3
Gordon Clegg,,Peter Clegg (1985),"1968-1969, 1974-1975, 1976, 1982, 1995, 2002, 2004, 2012",Ted FarrellLes Clegg (adoptive),Male,Betty WilliamsMaggie Cooke (adoptive),104,Accountant,"Bill Kenwright (1968-1995, 2012) Geoffrey Leesley (2002-2004)",Wimbledon,High,a half-sister,Financial & insurance activities,Caroline Wilson (1982),1950-05-20,,1968-04-15,2012-04-20,Exit,2012-04-20,2012-04-19,3,3
Grace Vickers,,Glory Bailey (2021),2019-2022,,Female,,80,,Kate Spencer,,,,,,,,2019-11-20,2022-03-16,Exit,2022-03-16,2019-11-20,1,1
Graeme Proctor,,,2008-2011,Adam Anthony Proctor,Male,Mrs. Proctor,261,Window Cleaner,Craig Gazey,London,Low,a sister,Administrative & support services,Xin Chiang (2011),1990-07-01,,2008-04-18,2011-06-13,Exit,2011-06-13,2008-04-18,1,1
Greg Kelly,,,1998-1999,Les Battersby,Male,Moira Wood,117,,Stephen Billington,,,Leanne Battersby (half-sister),,,1972-06-01,,1998-04-01,1999-05-16,Exit,1999-05-16,1998-04-01,1,1
Gwen Davies,,Jason Loveday,1999-2000,,Female,,91,Factory machinist,Annie Hulley,,Low,Pam Davies,Manufacturing,Laurie Loveday,,,1999-10-11,2000-06-16,Exit,2000-06-16,1999-10-11,1,1
Harry Clayton,,Andrea Clayton (1967)  Sue Clayton,1985,,Male,,35,Milkman,Johnny Leeze,,Low,,Transport & storage,Connie Clayton,,,1985-01-28,1985-09-04,Exit,1985-09-04,1985-01-28,1,1
Harry Flagg,,Catherine Flagg (1983),2002-2004,,Male,,121,Cleaner,Iain Rogerson,,Low,,Administrative & support services,a wife (c.1983),,,2002-09-06,2004-08-06,Exit,2004-08-06,2002-09-06,1,1
Harry Hewitt,Weatherfield,Lucille Hewitt (1949)  Christopher Hewitt (1962),"1960-1964, 1965, 1967",Thomas Hewitt,Male,Mary Hewitt,305,Bus driver,Ivan Beavis,,Low,Alice Hewitt (1920)Frances Hewitt (1922),Transport & storage,Elizabeth Harding (1948)  Concepta Riley (1961),1921-02-24,1967-09-04,1960-12-14,1967-09-06,Exit,1965-06-30,1960-12-14,1,2
Harry Hewitt,Weatherfield,Lucille Hewitt (1949)  Christopher Hewitt (1962),"1960-1964, 1965, 1967",Thomas Hewitt,Male,Mary Hewitt,305,Bus driver,Ivan Beavis,,Low,Alice Hewitt (1920)Frances Hewitt (1922),Transport & storage,Elizabeth Harding (1948)  Concepta Riley (1961),1921-02-24,1967-09-04,1960-12-14,1967-09-06,Death,1967-09-04,1967-06-30,2,2
Harry Mason,,Dan Mason,2007-2008,,Male,,85,Bookmaker,Jack Ellis,,Medium,,Other services,Two previous wives Clarissa Mason (1997),,,2007-12-03,2008-09-26,Exit,2008-09-26,2007-12-03,1,1
Harry Platt,Weatherfield General,,2016 to present,Callum Logan,Male,Sarah Platt,162 (as of Episode 11557/8),,Woody Illsley (2016)  Pixie & Presley Sellars (2016-2017)Freddie & Isaac Rhodes (2017-2024)Carter-J Murphy (2024 to present),7 Redbank Apartments,,Bethany Platt (half-sister)Billy Platt (half-brother)Max Turner (half-brother),,,2016-03-21,,2016-03-21,,Alive,2025-06-30,2016-03-21,1,1
Hayley Cropper,,Christian Gatley,"1998-2007, 2008-2014",Harry Patterson,Female,,1447,Factory supervisor/Café assistant,Julie Hesmondhalgh,,Low,,Manufacturing,Roy Cropper (2010),1966-05-07,2014-01-20,1998-01-26,2014-01-22,Death,2014-01-20,1998-01-26,1,1
Hilda Ogden,Weatherfield,Irma Ogden (1946)  Trevor Ogden (1949)Tony OgdenSylvia Ogden,1964-1987,Arnold Crabtree,Female,Florence Crabtree,1614,Cleaner,Jean Alexander,"The Nook, Blackberry Lane, Hartington, Derbyshire",Low,Archie Crabtree  Norman Crabtree,Administrative & support services,Stanley Ogden (1943),1924-02-02,,1964-07-08,1987-12-25,Exit,1987-12-25,1964-07-08,1,1
Hope Dobbs,Weatherfield General,,"2010-2014, 2015-2018, 2019 to present",John Stape,Female,Fiz Dobbs,613 (as of Episode 11557/8),,Harriet Atkins (2011)Sadie Pilbury (2011)Ava & Isla McCulloch (2011-2012) Faith & Nicole Holt (2013-2017)Isabella Flanagan (2017 to present),9 Coronation Street,,Jade Rowan (half-sister),,,2010-12-06,,2010-12-09,,Alive,2025-06-30,2010-12-09,1,1
Ida Barlow,Weatherfield,Ken Barlow (1939)David Barlow (1942),1960-1961,George Leathers,Female,Nancy Leathers,41,Cleaner,Noel Dyson,,Low,Ethel LeathersVera Leathers,Administrative & support services,Frank Barlow (1938),1916-12-16,1961-09-11,1960-12-09,1961-09-06,Death,1961-09-11,1960-12-09,1,1
Ida Clough,,Muriel Clough  Bernard Clough,"1978-1988, 1995, 1996-1998",,Female,,255,Machinist,Helene Palmer,,Low,,Manufacturing,Harry Clough,1937-11-15,,1978-04-03,1998-08-19,Exit,1988-06-30,1978-04-03,1,2
Ida Clough,,Muriel Clough  Bernard Clough,"1978-1988, 1995, 1996-1998",,Female,,255,Machinist,Helene Palmer,,Low,,Manufacturing,Harry Clough,1937-11-15,,1978-04-03,1998-08-19,Exit,1998-08-19,1995-06-30,2,2
Idris Hopkins,Wales,Tricia Hopkins (1957),1974-1975,Cledwin Hopkins,Male,Megan Hopkins,44,Foundry worker,Richard Davies,,Low,,Manufacturing,Vera Hopkins,,,1974-07-08,1975-02-10,Exit,1975-02-10,1974-07-08,1,1
Imran Habeeb,Manchester,Alfie Franklin (2022),2017-2022,Hassan Habeeb,Male,Saira Habeeb,437,Solicitor at Barlow Legal Services,Charlie De Melo,,High,Rana Habeeb,"Professional, scientific & technical activities",Sabeen HabeebToyah Battersby (2022),1989-12-21,2022-05-30,2017-11-17,2022-06-01,Death,2022-05-30,2017-11-17,1,1
Irma Barlow,,Darren Barlow (1968),"1964-1968, 1969, 1970-1971",Stan Ogden,Female,Hilda Ogden,393,Shop owner,Sandra Gough,Canada,Medium,Trevor OgdenTony OgdenSylvia Ogden,"Wholesale, retail & repair of motor vehicles",David Barlow (1965),1946-09-28,,1964-01-27,1971-12-08,Exit,1971-12-08,1964-01-27,1,1
Ivan Cheveski,Poland,Paul Cheveski (1961)  Martin Cheveski (1964),"1960-1961, 1962-1963, 1966, 1967",Kazimierz Cheveski,Male,Biasia Cheveski,76,,Ernst Walder,Birmingham,,,,Linda Tanner (1958),1936-02-14,,1960-12-14,1967-12-27,Exit,1963-06-30,1960-12-14,1,2
Ivan Cheveski,Poland,Paul Cheveski (1961)  Martin Cheveski (1964),"1960-1961, 1962-1963, 1966, 1967",Kazimierz Cheveski,Male,Biasia Cheveski,76,,Ernst Walder,Birmingham,,,,Linda Tanner (1958),1936-02-14,,1960-12-14,1967-12-27,Exit,1967-12-27,1966-06-30,2,2
Ivy Brennan,Rochdale,Brian Tilsley (1958),"1971-1972, 1974, 1975, 1976-1994",Jim Nelson,Female,Alice Nelson,1167,Factory worker,Lynne Perrie,,Low,Sheila Nelson,Manufacturing,Jack Tilsley (explanation)Bert Tilsley (1956)  Don Brennan (1988),1936-04-08,1995-08-23,1971-06-14,1994-03-25,Exit,1972-06-30,1971-06-14,1,2
Ivy Brennan,Rochdale,Brian Tilsley (1958),"1971-1972, 1974, 1975, 1976-1994",Jim Nelson,Female,Alice Nelson,1167,Factory worker,Lynne Perrie,,Low,Sheila Nelson,Manufacturing,Jack Tilsley (explanation)Bert Tilsley (1956)  Don Brennan (1988),1936-04-08,1995-08-23,1971-06-14,1994-03-25,Exit,1994-03-25,1974-06-30,2,2
Izzy Armstrong,,Jake Windass (2013),2010 to present,Owen Armstrong,Female,Linda Hancock,865 (as of Episode 11557/8),Machinist at Underworld,Cherylee Houston,28 Grayling Street,Low,Katy Armstrong,Manufacturing,,1986-01-24,,2010-04-16,,Alive,2025-06-30,2010-04-16,1,1
Jack Duckworth,Manchester,Terry Duckworth (1964),"1979, 1981, 1982-2010",Harry Duckworth,Male,Maggie Duckworth,2093,Barman,William Tarmey,,Low,Clifford Duckworth,Accommodation & food services,Veronica Burton (1957),1936-11-07,2010-11-07,1979-11-28,2010-11-08,Exit,1979-11-29,1979-11-28,1,2
Jack Duckworth,Manchester,Terry Duckworth (1964),"1979, 1981, 1982-2010",Harry Duckworth,Male,Maggie Duckworth,2093,Barman,William Tarmey,,Low,Clifford Duckworth,Accommodation & food services,Veronica Burton (1957),1936-11-07,2010-11-07,1979-11-28,2010-11-08,Death,2010-11-07,1981-06-30,2,2
Jack Walker,Accrington,Billy Walker (1938)Joan Walker (1940),1960-1970,Amos Walker,Male,Joan Walker,793,Pub landlord,Arthur Leslie,,Medium,Arthur WalkerJim WalkerLouise WalkerFred WalkerGertie WalkerAlice WalkerErnest Walker,Accommodation & food services,Anne Beaumont (1937),1900-04-26,1970-06-30,1960-12-14,1970-06-24,Death,1970-06-30,1960-12-14,1,1
Jack Webster,,,"2010-2013, 2014 to present",Kevin Webster,Male,Molly Dobbs,293 (as of Episode 11557/8),,Alex & Ellis Williamson (2010)Jaxon (2010-2014) & Maddox Beswick (2010-2016)Kyran Bowes (2016 to present),13 Coronation Street,,Rosie Webster (half-sister)Sophie Webster (half-sister)Jake Webster (half-brother),,,2010-09-06,,2010-09-06,,Alive,2025-06-30,2010-09-06,1,1
Jackie Dobbs,,,"1998-1999, 2008, 2009, 2010",,Female,,65,,Margi Clarke,,,,,Darren Dobbs,1954-08-24,2018-07-23,1998-03-29,2010-03-18,Exit,1999-06-30,1998-03-29,1,2
Jackie Dobbs,,,"1998-1999, 2008, 2009, 2010",,Female,,65,,Margi Clarke,,,,,Darren Dobbs,1954-08-24,2018-07-23,1998-03-29,2010-03-18,Exit,2010-03-18,2008-06-30,2,2
Jackie Ingram,,,"1990-1991, 1992",,Female,,75,Businesswoman,Shirin Taylor,,High,,"Professional, scientific & technical activities",Peter Ingram  Mike Baldwin (1991),,,1990-08-08,1992-06-15,Exit,1992-06-15,1990-08-08,1,1
Jacob Hay,,,2021-2023,Damon Hay,Male,,99,,Jack James Ryan,,,A sister,,,,,2021-02-01,2023-01-13,Exit,2023-01-13,2021-02-01,1,1
Jake Windass,Weatherfield General,,"2013-2019, 2021 to present",Gary Windass,Male,Izzy ArmstrongTina McIntyre (Surrogate),131 (as of Episode 11557/8),,Harley & Layton Phoenix (2013-2015)Seth & Theo Wild (2016-2018)Bobby Bradshaw (2018 to present),5 Victoria Court,,Zack Rubinstein (half-brother),,,2013-05-27,,2013-05-27,,Exit,2019-06-30,2013-05-27,1,2
Jake Windass,Weatherfield General,,"2013-2019, 2021 to present",Gary Windass,Male,Izzy ArmstrongTina McIntyre (Surrogate),131 (as of Episode 11557/8),,Harley & Layton Phoenix (2013-2015)Seth & Theo Wild (2016-2018)Bobby Bradshaw (2018 to present),5 Victoria Court,,Zack Rubinstein (half-brother),,,2013-05-27,,2013-05-27,,Alive,2025-06-30,2021-06-30,2,2
Jamie Armstrong,,,1994-1997,Carl Armstrong,Male,Tricia Armstrong,107,,Joseph Gilgun,,,Brad Armstrong (half-brother),,,1984-02-18,,1994-03-07,1997-05-02,Exit,1997-05-02,1994-03-07,1,1
Jamie Baldwin,,,"2004-2008, 2011",Danny Baldwin,Male,Carol Baldwin,416,Taxi driver,Rupert Hill,London,Low,Warren Baldwin (half-brother),Transport & storage,,1980-06-27,,2004-07-19,2011-04-24,Exit,2008-06-30,2004-07-19,1,2
Jamie Baldwin,,,"2004-2008, 2011",Danny Baldwin,Male,Carol Baldwin,416,Taxi driver,Rupert Hill,London,Low,Warren Baldwin (half-brother),Transport & storage,,1980-06-27,,2004-07-19,2011-04-24,Exit,2011-04-24,2011-04-23,2,2
Janet Barlow,Keswick,,"1969, 1971, 1973-1974, 1975, 1977",Charles Reid,Female,Jacqueline Reid,71,Town clerk,Judith Barker,,Medium,Helen Reid,Public admin & defence; social security,Ken Barlow (1973),1942-11-28,1977-02-21,1969-06-16,1977-02-21,Exit,1969-06-30,1969-06-16,1,3
